STACJA;ROK;DATA;NRPOMIARU;TYDZ;NRDNIA;SDRD
2002;2022;01.01.2022;1;52;16;4389
2002;2022;02.01.2022;1;52;7;9147
2002;2022;03.01.2022;1;1;1;9179
2002;2022;04.01.2022;1;1;2;8850
2002;2022;05.01.2022;1;1;3;9574
2002;2022;06.01.2022;1;1;14;5926
2002;2022;07.01.2022;1;1;5;9667
2002;2022;08.01.2022;1;1;6;8304
2002;2022;09.01.2022;1;1;7;7675
2002;2022;10.01.2022;1;2;1;9400
2002;2022;11.01.2022;1;2;2;9373
2002;2022;12.01.2022;1;2;3;9106
2002;2022;13.01.2022;1;2;4;9241
2002;2022;14.01.2022;1;2;5;10402
2002;2022;15.01.2022;1;2;6;8129
2002;2022;16.01.2022;1;2;7;7190
2002;2022;17.01.2022;1;3;1;9119
2002;2022;18.01.2022;1;3;2;9197
2002;2022;19.01.2022;1;3;3;9319
2002;2022;20.01.2022;1;3;4;8864
2002;2022;21.01.2022;1;3;5;10597
2002;2022;22.01.2022;1;3;6;8147
2002;2022;23.01.2022;1;3;7;6985
2002;2022;24.01.2022;1;4;1;9210
2002;2022;25.01.2022;1;4;2;8842
2002;2022;26.01.2022;1;4;3;8908
2002;2022;27.01.2022;1;4;4;9074
2002;2022;28.01.2022;1;4;5;10356
2002;2022;29.01.2022;1;4;6;8398
2002;2022;30.01.2022;1;4;7;5841
2002;2022;31.01.2022;1;5;1;9246
2002;2022;01.02.2022;2;5;2;8586
2002;2022;02.02.2022;2;5;3;8719
2002;2022;03.02.2022;2;5;4;9264
2002;2022;04.02.2022;2;5;5;10500
2002;2022;05.02.2022;2;5;6;8537
2002;2022;06.02.2022;2;5;7;6521
2002;2022;07.02.2022;2;6;1;9119
2002;2022;08.02.2022;2;6;2;8638
2002;2022;09.02.2022;2;6;3;8933
2002;2022;10.02.2022;2;6;4;9627
2002;2022;11.02.2022;2;6;5;10537
2002;2022;12.02.2022;2;6;6;9767
2002;2022;13.02.2022;2;6;7;9446
2002;2022;14.02.2022;2;7;1;10299
2002;2022;15.02.2022;2;7;2;9674
2002;2022;16.02.2022;2;7;3;9430
2002;2022;17.02.2022;2;7;4;9279
2002;2022;18.02.2022;2;7;5;10992
2002;2022;19.02.2022;2;7;6;8220
2002;2022;20.02.2022;2;7;7;7165
2002;2022;21.02.2022;2;8;1;9776
2002;2022;22.02.2022;2;8;2;9468
2002;2022;23.02.2022;2;8;3;9565
2002;2022;24.02.2022;2;8;4;10399
2002;2022;25.02.2022;2;8;5;11631
2002;2022;26.02.2022;2;8;6;9067
2002;2022;27.02.2022;2;8;7;7721
2002;2022;28.02.2022;2;9;1;9939
2002;2022;01.03.2022;3;9;2;9669
2002;2022;02.03.2022;3;9;3;9517
2002;2022;03.03.2022;3;9;4;9936
2002;2022;04.03.2022;3;9;5;11329
2002;2022;05.03.2022;3;9;6;8573
2002;2022;06.03.2022;3;9;7;7280
2002;2022;07.03.2022;3;10;1;9921
2002;2022;08.03.2022;3;10;2;10006
2002;2022;09.03.2022;3;10;3;9635
2002;2022;10.03.2022;3;10;4;9755
2002;2022;11.03.2022;3;10;5;11100
2002;2022;12.03.2022;3;10;6;8633
2002;2022;13.03.2022;3;10;7;7926
2002;2022;14.03.2022;3;11;1;9918
2002;2022;15.03.2022;3;11;2;9470
2002;2022;16.03.2022;3;11;3;9354
2002;2022;17.03.2022;3;11;4;9790
2002;2022;18.03.2022;3;11;5;11146
2002;2022;19.03.2022;3;11;6;8340
2002;2022;20.03.2022;3;11;7;8130
2002;2022;21.03.2022;3;12;1;9843
2002;2022;22.03.2022;3;12;2;9678
2002;2022;23.03.2022;3;12;3;9739
2002;2022;24.03.2022;3;12;4;9961
2002;2022;25.03.2022;3;12;5;11411
2002;2022;26.03.2022;3;12;6;8779
2002;2022;27.03.2022;3;12;7;8205
2002;2022;28.03.2022;3;13;1;10053
2002;2022;29.03.2022;3;13;2;9661
2002;2022;30.03.2022;3;13;3;9603
2002;2022;31.03.2022;3;13;4;9776
2002;2022;01.04.2022;4;13;5;10709
2002;2022;02.04.2022;4;13;6;8173
2002;2022;03.04.2022;4;13;7;6837
2002;2022;04.04.2022;4;14;1;9750
2002;2022;05.04.2022;4;14;2;9216
2002;2022;06.04.2022;4;14;3;9633
2002;2022;07.04.2022;4;14;4;9672
2002;2022;08.04.2022;4;14;5;11130
2002;2022;09.04.2022;4;14;6;8772
2002;2022;10.04.2022;4;14;7;7534
2002;2022;11.04.2022;4;15;1;10209
2002;2022;12.04.2022;4;15;2;10282
2002;2022;13.04.2022;4;15;3;10886
2002;2022;14.04.2022;4;15;4;12061
2002;2022;15.04.2022;4;15;5;12361
2002;2022;16.04.2022;4;15;6;6652
2002;2022;17.04.2022;4;15;17;6570
2002;2022;18.04.2022;4;16;11;9377
2002;2022;19.04.2022;4;16;2;10941
2002;2022;20.04.2022;4;16;3;10423
2002;2022;21.04.2022;4;16;4;10410
2002;2022;22.04.2022;4;16;5;11564
2002;2022;23.04.2022;4;16;6;9541
2002;2022;24.04.2022;4;16;7;8269
2002;2022;25.04.2022;4;17;1;9776
2002;2022;26.04.2022;4;17;2;9766
2002;2022;27.04.2022;4;17;3;9956
2002;2022;28.04.2022;4;17;4;10156
2002;2022;29.04.2022;4;17;5;11901
2002;2022;30.04.2022;4;17;6;9006
2002;2022;01.05.2022;5;17;17;8642
2002;2022;02.05.2022;5;18;1;9043
2002;2022;03.05.2022;5;18;12;7363
2002;2022;04.05.2022;5;18;3;9792
2002;2022;05.05.2022;5;18;4;10153
2002;2022;06.05.2022;5;18;5;11439
2002;2022;07.05.2022;5;18;6;8742
2002;2022;08.05.2022;5;18;7;8196
2002;2022;09.05.2022;5;19;1;10795
2002;2022;10.05.2022;5;19;2;10245
2002;2022;11.05.2022;5;19;3;10213
2002;2022;12.05.2022;5;19;4;10397
2002;2022;13.05.2022;5;19;5;11613
2002;2022;14.05.2022;5;19;6;9105
2002;2022;15.05.2022;5;19;7;9300
2002;2022;16.05.2022;5;20;1;10560
2002;2022;17.05.2022;5;20;2;9789
2002;2022;18.05.2022;5;20;3;10084
2002;2022;19.05.2022;5;20;4;10218
2002;2022;20.05.2022;5;20;5;11571
2002;2022;21.05.2022;5;20;6;8854
2002;2022;22.05.2022;5;20;7;8387
2002;2022;23.05.2022;5;21;1;10297
2002;2022;24.05.2022;5;21;2;9850
2002;2022;25.05.2022;5;21;3;11373
2002;2022;26.05.2022;5;21;4;12969
2002;2022;27.05.2022;5;21;5;11410
2002;2022;28.05.2022;5;21;6;8522
2002;2022;29.05.2022;5;21;7;9451
2002;2022;30.05.2022;5;22;1;10206
2002;2022;31.05.2022;5;22;2;9935
2002;2022;01.06.2022;6;22;3;10002
2002;2022;02.06.2022;6;22;4;10411
2002;2022;03.06.2022;6;22;5;12370
2002;2022;04.06.2022;6;22;6;8680
2002;2022;05.06.2022;6;22;17;8635
2002;2022;06.06.2022;6;23;1;11589
2002;2022;07.06.2022;6;23;2;10106
2002;2022;08.06.2022;6;23;3;9853
2002;2022;09.06.2022;6;23;4;9952
2002;2022;10.06.2022;6;23;5;11302
2002;2022;11.06.2022;6;23;6;9155
2002;2022;12.06.2022;6;23;7;8368
2002;2022;13.06.2022;6;24;1;9956
2002;2022;14.06.2022;6;24;2;9892
2002;2022;15.06.2022;6;24;3;10789
2002;2022;16.06.2022;6;24;14;6799
2002;2022;17.06.2022;6;24;5;10303
2002;2022;18.06.2022;6;24;6;8633
2002;2022;19.06.2022;6;24;7;8416
2002;2022;20.06.2022;6;25;1;9946
2002;2022;21.06.2022;6;25;2;9866
2002;2022;22.06.2022;6;25;3;9588
2002;2022;23.06.2022;6;25;4;9976
